protocolo,data_evento,data_registro,ano,municipio,cod_ibge,bacia,cobrade,tipo,status,mortos,feridos,desabrigados,desalojados,desaparecidos,danos_humanos_total,outros_afetados,casas_danificadas,casas_destruidas,danos_materiais_rs,prejuizos_rs
SC-P-4213203-12200-20090930,2009-09-30,2009-09-30,2009,Pomerode,4213203,acu,12200,Enxurrada,Reconhecido,0,0,0,0,0,0,0,0,0,0.0,0.0
SC-P-4202404-12200-20091127,2009-11-27,2009-11-27,2009,Blumenau,4202404,acu,12200,Enxurrada,Reconhecido,0,0,0,0,0,0,0,0,0,0.0,0.0
SC-P-4207106-12200-20100113,2010-01-13,2010-01-13,2010,Ilhota,4207106,acu,12200,Enxurrada,Reconhecido,0,0,12,41,0,53,1901,0,0,0.0,0.0
SC-P-4207502-12200-20100114,2010-01-14,2010-01-14,2010,Indaial,4207502,acu,12200,Enxurrada,Reconhecido,0,0,0,0,0,0,0,0,0,0.0,0.0
SC-A-4213203-12200-20100126,2010-01-26,2010-01-26,2010,Pomerode,4213203,acu,12200,Enxurrada,Reconhecido,0,2,21,1000,0,1023,26500,478,0,24128735.69,1873075.51
SC-A-4207106-12200-20100226,2010-02-26,2010-02-26,2010,Ilhota,4207106,acu,12200,Enxurrada,Registro,0,0,14,50,0,64,1822,19,0,5788510.66,2404618.63
SC-P-4205902-12200-20100325,2010-03-25,2010-03-25,2010,Gaspar,4205902,acu,12200,Enxurrada,Reconhecido,0,0,1,320,0,321,6286,0,0,0.0,0.0
SC-A-4217808-12200-20100328,2010-03-28,2010-03-28,2010,Taió,4217808,acu,12200,Enxurrada,Reconhecido,0,0,0,0,0,0,0,3,1,755474.05,52646.28
SC-P-4201703-12200-20100426,2010-04-26,2010-04-26,2010,Ascurra,4201703,acu,12200,Enxurrada,Reconhecido,0,0,0,46,0,46,2640,0,0,0.0,0.0
SC-J-4202404-12100-20100426,2010-04-26,2010-04-26,2010,Blumenau,4202404,acu,12100,Inundação,Registro,0,0,16,104,0,120,3000,0,0,0.0,0.0
SC-P-4206306-12200-20100426,2010-04-26,2010-04-26,2010,Guabiruba,4206306,mirim,12200,Enxurrada,Reconhecido,0,0,0,0,0,0,0,0,0,0.0,0.0
