id,inicio,fim,n_cidades,cidades,atinge_acu,atinge_mirim,tipos,desabrigados,desalojados,mortos,prejuizos_rs,protocolos
2022-11-26,2022-11-26,2022-12-04,11,"Ascurra, Benedito Novo, Blumenau, Botuverá, Brusque, Gaspar, Indaial, Itajaí, Pomerode, Rodeio, Timbó",True,True,"Chuvas intensas, Inundação",61,737,2,33907212.68,"SC-F-4202404-13214-20221126, SC-F-4205902-13214-20221126, SC-F-4208203-13214-20221126, SC-F-4202206-13214-20221127, SC-F-4205902-13214-20221127, SC-F-4213203-13214-20221127, SC-F-4215109-12100-20221127, SC-F-4218202-13214-20221127, SC-F-4202909-13214-20221128, SC-F-4202701-13214-20221130, SC-F-4207502-13214-20221130, SC-F-4201703-13214-20221201, SC-F-4215109-13214-20221204"
2022-12-20,2022-12-20,2022-12-20,4,"Gaspar, Ilhota, Itajaí, Navegantes",True,True,Chuvas intensas,167,3669,0,10097780.7,"SC-F-4205902-13214-20221220, SC-F-4207106-13214-20221220, SC-F-4208203-13214-20221220, SC-F-4211306-13214-20221220"
2023-01-03,2023-01-03,2023-01-03,2,"Benedito Novo, Brusque",True,True,Chuvas intensas,0,27,0,49411.81,"SC-F-4202206-13214-20230103, SC-F-4202909-13214-20230103"
2023-01-12,2023-01-12,2023-01-17,6,"Ascurra, Indaial, Ituporanga, Rodeio, Taió, Timbó",True,False,"Chuvas intensas, Enxurrada",15,4267,5,33970676.23,"SC-F-4208500-12200-20230112, SC-F-4201703-13214-20230117, SC-F-4207502-13214-20230117, SC-F-4215109-13214-20230117, SC-F-4217808-12200-20230117, SC-F-4218202-13214-20230117"
2023-01-29,2023-01-29,2023-02-10,2,"Brusque, Rio do Sul",True,True,"Alagamento, Chuvas intensas",0,0,0,0.0,"SC-F-4202909-13214-20230129, SC-F-4214805-12300-20230202, SC-F-4202909-13214-20230209, SC-F-4214805-12300-20230210"
2023-03-03,2023-03-03,2023-03-13,3,"Indaial, Itajaí, Rio do Sul",True,True,"Alagamento, Chuvas intensas",130,75,0,0.0,"SC-F-4207502-13214-20230303, SC-F-4214805-12300-20230308, SC-F-4208203-12300-20230313"
2023-03-29,2023-03-29,2023-03-29,1,Ascurra,True,False,Chuvas intensas,0,0,0,2111.62,SC-F-4201703-13214-20230329
2023-04-17,2023-04-17,2023-04-17,1,Ascurra,True,False,Chuvas intensas,0,0,0,0.0,SC-F-4201703-13214-20230417
2023-07-11,2023-07-11,2023-07-13,2,"Ascurra, Rio do Sul",True,False,"Chuvas intensas, Inundação",9,9,0,0.0,"SC-F-4201703-13214-20230711, SC-F-4214805-12100-20230713"
2023-09-27,2023-09-27,2023-10-12,16,"Apiúna, Ascurra, Benedito Novo, Blumenau, Botuverá, Brusque, Gaspar, Ilhota, Indaial, Itajaí, Lontras, Navegantes, Rodeio, Taió, Timbó, Vidal Ramos",True,True,"Alagamento, Chuvas intensas",1885,20927,0,148247878.32,"SC-F-4207502-13214-20230927, SC-F-4205902-13214-20231003, SC-F-4201703-13214-20231004, SC-F-4202206-13214-20231004, SC-F-4202404-13214-20231004, SC-F-4202701-13214-20231004, SC-F-4202909-13214-20231004, SC-F-4207502-13214-20231004, SC-F-4208203-13214-20231004, SC-F-4209904-13214-20231004, SC-F-4215109-13214-20231004, SC-F-4217808-13214-20231004, SC-F-4218202-13214-20231004, SC-F-4201257-13214-20231005, SC-F-4207106-13214-20231007, SC-F-4219200-13214-20231008, SC-F-4211306-12300-20231009, SC-F-4207502-13214-20231012"
2023-10-28,2023-10-28,2023-11-03,6,"Ascurra, Benedito Novo, Brusque, Indaial, Rodeio, Timbó",True,True,Chuvas intensas,50,48,0,3084053.09,"SC-F-4202909-13214-20231028, SC-F-4201703-13214-20231029, SC-F-4215109-13214-20231102, SC-F-4201703-13214-20231103, SC-F-4202206-13214-20231103, SC-F-4207502-13214-20231103, SC-F-4218202-13214-20231103"
2023-11-16,2023-11-16,2023-11-17,10,"Ascurra, Botuverá, Brusque, Indaial, Itajaí, Ituporanga, Lontras, Rio do Sul, Rodeio, Vidal Ramos",True,True,"Chuvas intensas, Inundação",2406,23806,0,615603148.21,"SC-F-4201703-13214-20231116, SC-F-4202701-13214-20231116, SC-F-4202909-13214-20231116, SC-F-4207502-13214-20231116, SC-F-4208500-13214-20231116, SC-F-4209904-13214-20231116, SC-F-4214805-13214-20231116, SC-F-4208203-12100-20231117, SC-F-4215109-13214-20231117, SC-F-4219200-13214-20231117"
